LSOA11 Code,Public transport accessibility metric
E01000710,1
E01000711,2
E01000712,1
E01000713,4
E01000714,0
E01000715,2
E01000716,3
E01000717,1
E01000718,1
E01000719,3
E01000720,5
E01000721,3
E01000722,2
E01000723,1
E01000724,2
E01000725,1
E01000726,1
E01000727,0
E01000728,5
E01000729,0
E01000730,2
E01000731,3
E01000732,3
E01000733,2
E01000734,4
E01000735,1
E01000736,0
E01000737,2
E01000738,1
E01000739,0
E01000740,0
E01000741,1
E01000742,0
E01000743,0
E01000744,0
E01000745,0
E01000746,1
E01000747,3
E01000748,7
E01000749,4
E01000750,2
E01000751,1
E01000752,0
E01000753,2
E01000754,1
E01000755,1
E01000756,1
E01000757,2
E01000758,0
E01000759,5
E01000760,3
E01000761,4
E01000762,0
E01000763,1
E01000764,1
E01000765,1
E01000766,2
E01000767,1
E01000768,1
E01000769,1
E01000770,0
E01000771,0
E01000772,0
E01000773,0
E01000774,1
E01000775,1
E01000777,0
E01000778,2
E01000779,2
E01000780,0
E01000781,1
E01000782,1
E01000783,2
E01000784,2
E01000785,3
E01000786,3
E01000787,0
E01000788,1
E01000789,1
E01000790,1
E01000791,2
E01000792,1
E01000793,1
E01000794,2
E01000795,1
E01000796,0
E01000797,0
E01000798,0
E01000799,0
E01000800,0
E01000801,0
E01000802,0
E01000803,0
E01000804,1
E01000805,0
E01000806,0
E01000807,3
E01000808,2
E01000809,2
E01000810,2
E01000811,2
E01000812,1
E01000813,1
E01000814,3
E01000815,3
E01000816,2
E01000818,4
E01000819,0
E01000820,1
E01000822,1
E01000823,1
E01000824,1
E01000825,2
E01000826,2
E01000827,1
E01000828,1
E01000829,0
E01000830,2
E01000831,3
E01000832,1
E01000833,3
E01000834,1
E01000835,1
E01000836,3
E01000837,1
E01000838,2
E01000839,4
E01000840,3
E01000841,1
E01000842,1
E01000843,0
E01000844,0
E01000845,0
E01000846,0
E01000847,1
E01000848,0
E01000849,0
E01000850,0
E01000851,0
E01000852,0
E01000853,0
E01000854,0
E01000855,0
E01000856,0
E01000857,0
E01000858,0
E01000859,0
E01000860,0
E01000861,0
E01000862,0
E01000863,0
E01000864,0
E01000865,0
E01000866,0
E01000867,0
E01000868,0
E01000869,0
E01000870,0
E01000871,0
E01000872,0
E01000873,0
E01000874,0
E01000875,0
E01000876,0
E01000877,0
E01000878,0
E01000879,0
